InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,0,0,0
600,1,0,0
700,0,0,0
800,1,0,0
900,1,0,0
1000,1,0,0
1100,1,0,0
1200,1,0,0
1300,2,0,0
1400,2,0,0
1500,2,0,0
1600,2,0,0
1700,3,0,0
1800,3,0,0
1900,3,0,0
2000,3,0,0
2100,4,0,0
2200,4,0,0
2300,4,0,0
2400,5,0,0
2500,6,0,0
2600,6,0,0
2700,6,0,0
2800,7,0,0
2900,7,0,0
3000,8,0,0
3100,9,0,0
3200,10,0,0
3300,11,0,0
3400,11,0,0
3500,11,0,0
3600,11,0,0
3700,13,0,0
3800,13,0,0
3900,13,0,0
4000,14,0,0
4100,15,0,0
4200,15,0,0
4300,16,0,0
4400,17,0,0
4500,20,0,0
4600,18,0,0
4700,20,0,0
4800,20,0,0
4900,22,0,0
5000,22,0,0
5100,23,0,0
5200,24,0,0
5300,25,0,0
5400,26,0,0
5500,27,0,0
5600,28,0,0
5700,29,0,0
5800,33,0,0
5900,41,0,0
6000,43,0,0
6100,39,0,0
6200,40,0,0
6300,41,0,0
6400,43,0,0
6500,39,0,0
6600,39,0,0
6700,41,0,0
6800,41,0,0
6900,43,0,0
7000,44,0,0
7100,48,0,0
7200,49,0,0
7300,48,0,0
7400,49,0,0
7500,50,0,0
7600,51,0,0
7700,54,0,0
7800,55,0,0
7900,58,0,0
8000,59,0,0
8100,59,0,0
8200,61,0,0
8300,64,0,0
8400,66,0,0
8500,66,0,0
8600,66,0,0
8700,78,0,0
8800,68,0,0
8900,69,0,0
9000,71,0,0
9100,72,0,0
9200,75,0,0
9300,76,0,0
9400,83,0,0
9500,82,0,0
9600,86,0,0
9700,88,0,0
9800,105,0,0
9900,95,0,0
10000,95,0,0
10100,96,0,0
10200,103,0,0
10300,99,0,0
10400,102,0,0
10500,103,0,0
10600,103,0,0
10700,122,0,0
10800,108,0,0
10900,107,0,0
11000,112,0,0
11100,112,0,0
11200,114,0,0
11300,121,0,0
11400,120,0,0
11500,129,0,0
11600,143,0,0
11700,134,0,0
11800,153,0,0
11900,129,0,0
12000,133,0,0
12100,140,0,0
12200,140,0,0
12300,171,0,0
12400,159,0,0
12500,145,0,0
12600,149,0,0
12700,147,0,0
12800,148,0,0
12900,154,0,0
13000,164,0,0
13100,161,0,0
13200,163,0,0
13300,164,0,0
13400,181,0,0
13500,188,0,0
13600,172,0,0
13700,174,0,0
13800,180,0,0
13900,184,0,0
14000,202,0,0
14100,248,0,0
14200,184,0,0
14300,189,0,0
14400,194,0,0
14500,220,0,0
14600,199,0,0
14700,207,0,0
14800,205,0,0
14900,216,0,0
15000,210,0,0
15100,220,0,0
15200,222,0,0
15300,221,0,0
15400,231,0,0
15500,229,0,0
15600,230,0,0
15700,238,0,0
15800,248,0,0
15900,246,0,0
16000,251,0,0
16100,251,0,0
16200,244,0,0
16300,249,0,0
16400,257,0,0
16500,280,0,0
16600,270,0,0
16700,256,0,0
16800,265,0,0
16900,262,0,0
17000,262,0,0
17100,268,0,0
17200,292,0,0
17300,278,0,0
17400,289,0,0
17500,294,0,0
17600,289,0,0
17700,294,0,0
17800,305,0,0
17900,287,0,0
18000,315,0,0
18100,303,0,0
18200,321,0,0
18300,333,0,0
18400,373,0,0
18500,404,0,0
18600,325,0,0
18700,349,0,0
18800,332,0,0
18900,336,0,0
19000,370,0,0
19100,353,0,0
19200,342,0,0
19300,349,0,0
19400,351,0,0
19500,353,0,0
19600,369,0,0
19700,378,0,0
19800,365,0,0
19900,374,0,0
